Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof
0,-9.229532241821289,-348.3065490722656,62.83815383911133,-5.718918834801761,0.8655922923427543,-98.76768181829837,-25.3091606577,14.9954189999,20.8047910733,45.0249965292,-2.11703416281,-5.663703382,3.60375943684,9.72817090439,1.30166778953,19.8255830427,-14.4814300266,-3.77721542572,9.51248040368,15.5533110903,25.3628114206,-36.4612165305,69.3650559478,-15.5917902126,-28.879498489,34.8048643751,32.0741230269
1,-9.252386386613493,-348.9391845444754,62.74586054184268,-5.850026612851826,0.9925758841219705,-98.62991697259316,-25.7203050214,14.8112078314,20.9731941995,44.0313782388,-2.19992126732,-5.54725432907,3.95345318122,9.49058163941,1.37473175562,20.8375137249,-14.4443779027,-3.7696541194,9.85785768166,16.1264393146,25.2640727845,-36.4229462208,69.053954206,-16.0909101119,-28.9201849387,34.6881733834,32.1494417733
2,-9.277868331708536,-349.57632071574045,62.64709249340147,-5.950648075317638,1.1378718745507181,-98.47115301029851,-26.0986645494,14.6013528078,21.1406187524,43.0082894763,-2.29884896143,-5.42498550511,4.27166326808,9.23729565376,1.4396860816,21.8685738838,-14.39400034,-3.75587808497,10.1797986356,16.6700294943,25.1688841561,-36.3755741649,68.7273528411,-16.56373152,-28.959937896,34.5913361557,32.2445911118
3,-9.298032777296612,-350.2153672814909,62.544164935031084,-6.02395263212458,1.2993136862511865,-98.2892210749716,-26.4434772762,14.3662765491,21.3067275612,41.9577906064,-2.41361801791,-5.29714314328,4.55774886465,8.96882303171,1.49639995811,22.9166871017,-14.3303987922,-3.73591506552,10.4776549191,17.182986911,25.0774372325,-36.319195764,68.385909585,-17.0093022374,-28.9986773038,34.5145477091,32.3593794244
4,-9.312365453841357,-350.85879985512565,62.44120890387333,-6.034506960677145,1.4661601701704938,-98.07330863790287,-26.7540487947,14.1064524676,21.4711861049,40.881997194,-2.54399730718,-5.16398470106,4.81113383262,8.6857044414,1.54475917095,23.9797426178,-14.2537013445,-3.7098052639,10.7508266895,17.6642785368,24.9899161757,-36.2539245565,68.0303120587,-17.4267249441,-29.0363251461,34.4579626853,32.4935755426
5,-9.312322154062262,-351.51098613988734,62.33088845708958,-6.061406370005063,1.619223590032467,-97.91234949693839,-27.0297536552,13.8224038145,21.6336631858,39.7830757437,-2.68972426269,-5.02577834185,5.03130788837,8.38851004598,1.58466633109,25.05559958,-14.1640624551,-3.6776012618,10.998763815,18.1129351145,24.9064972414,-36.17989199,67.6612763886,-17.8151590062,-29.072805605,34.4216950391,32.6469092135
6,-9.302984769311632,-352.17507313589357,62.21679294480991,-6.069835855618362,1.7714202228279265,-97.79832438688854,-27.270036625,13.5147026259,21.7938315967,38.6632393373,-2.85050540975,-4.88280239486,5.21782763067,8.07783835542,1.61604107083,26.1420913554,-14.061662645,-3.63936791378,11.2209669833,18.5280531094,24.8273484243,-36.0972471563,67.2795457631,-18.1738221693,-29.108045214,34.4058178087,32.8190716432
7,-9.287457270409545,-352.86021980615254,62.04856426843398,-6.3826329330126095,2.007742160803786,-97.95296767523234,-27.4744138059,13.1839685711,21.9513687798,37.5247431761,-3.02601695652,-4.73534479462,5.37031743357,7.75431502115,1.63882020562,27.2370298942,-13.9467081336,-3.59518221671,11.4169887068,18.9087965291,24.7526291195,-36.006156491,66.8858889372,-18.5019921335,-29.1419730049,34.4103629686,33.0097161198
8,-9.269606567629207,-353.5504081117195,61.835632079605546,-6.9084535084422996,2.238229021541256,-98.17157589867544,-27.6424736096,12.8308677044,22.1059574762,36.3698800399,-3.21590544611,-4.58370250111,5.4884702029,7.41859157612,1.65295786131,28.338210136,-13.8194304242,-3.54513315472,11.5864342239,19.2543986069,24.6824898019,-35.9068034386,66.4810986831,-18.7990080081,-29.1745206519,34.4353213656,33.2184587104
9,-9.218545771805342,-354.2277279238058,61.63756259613049,-7.27256892029213,2.422010136893438,-98.18112037618995,-27.773877586,12.4561111241,22.2572863648,35.2009756694,-3.41978846836,-4.42818090173,5.57204799471,7.07134412266,1.65842556654,29.4434144502,-13.680085837,-3.48932151994,11.7289622937,19.5641633464,24.6170717225,-35.7993880829,66.0659901946,-19.0642716427,-29.2056226082,34.4806427368,33.4448790354
