Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof
0,-9.229532241821289,-348.3065490722656,62.83815383911133,-5.718918834801761,0.8655922923427543,-98.76768181829837,-24.322226,14.273426,22.795504,33.94821,-8.3958435,-2.2861476,3.4500206,8.945032,2.0152936,12.522782,-14.594797,-3.3393183,10.846275,14.858418,25.705503,-34.03799,66.832924,-16.448296,-28.706171,35.27422,32.731373
1,-9.252386386613493,-348.9391845444754,62.74586054184268,-5.850026612851826,0.9925758841219705,-98.62991697259316,-24.524573573599096,13.778060392792279,22.52072842005874,30.541109934614862,-7.884185942162366,-3.234490580091621,3.9677573629746834,9.00789776668203,1.9422229853523387,12.37482465167099,-14.945607900986948,-3.251591304868221,10.852630514284666,15.168872135430934,25.681956599231352,-33.89101083603665,66.81536195788385,-17.14302015146301,-28.775780384289497,34.96870248722791,32.58678054538832
2,-9.277868331708536,-349.57632071574045,62.64709249340147,-5.950648075317638,1.1378718745507181,-98.47115301029851,-24.655644469057165,13.210179822615702,22.277749563018467,27.011088792866374,-7.386273740576373,-4.497535037469412,4.468943297028664,9.040644295987454,1.8392830746234112,12.236377369559087,-15.300718415588744,-3.1386304877455053,10.836766621954437,15.496953599915715,25.65776249369543,-33.75459673520178,66.70250136593924,-17.799653420031056,-28.848856601308523,34.650015510726824,32.46380444002987
3,-9.298032777296612,-350.2153672814909,62.544164935031084,-6.02395263212458,1.2993136862511865,-98.2892210749716,-24.708938948365372,12.574400166640151,22.048755753054454,23.310919156364893,-6.851647153132382,-5.989947447787765,4.958931569856839,9.049179431805273,1.7088899176343033,12.099185797976979,-15.653418261266827,-3.0094265510407867,10.787369420232965,15.8442219807423,25.63327732854728,-33.632234284078166,66.49951852577199,-18.422613026972652,-28.92374024728286,34.323277413219564,32.35960907163947
4,-9.312365453841357,-350.85879985512565,62.44120890387333,-6.034506960677145,1.4661601701704938,-98.07330863790287,-24.6054372735149,11.809664302035511,21.86234931434196,19.397567606720795,-6.270089137720759,-7.610681886701072,5.424447649154107,8.992019018024486,1.5435009642061,12.020880581237357,-16.02802315548263,-2.865660197162998,10.735763006343905,16.257872865198657,25.60238374894194,-33.51688806924855,66.16349373898791,-18.982099193556316,-29.036882918438316,33.92406153742892,32.281393827931986
5,-9.312322154062262,-351.51098613988734,62.33088845708958,-6.061406370005063,1.619223590032467,-97.91234949693839,-24.35912970649691,11.064826105971663,21.769917571056247,15.511460725544454,-5.792477352231867,-9.286864429863725,5.847793702615362,8.937325898534096,1.444510864159887,12.071793363652912,-16.441782815697593,-2.7117785285210725,10.710240477510911,16.584683840572737,25.575364400034452,-33.42051767729573,65.8716123071928,-19.48078914105057,-29.148565211000683,33.57013422607769,32.18105709662227
6,-9.302984769311632,-352.17507313589357,62.21679294480991,-6.069835855618362,1.7714202228279265,-97.79832438688854,-23.74699150930258,10.159528455618489,21.835363847372587,10.977782094446232,-5.178085154556068,-11.028803152930115,6.218127097935504,8.842700917223103,1.4018837673167492,12.26077778953633,-16.919387959373147,-2.5404334475239425,10.730405430957639,16.912435494152508,25.545816926979853,-33.31014969480245,65.51900953199248,-19.904797090723928,-29.291643721195754,33.189333821888674,32.05527726542515
7,-9.287457270409545,-352.86021980615254,62.04856426843398,-6.3826329330126095,2.007742160803786,-97.95296767523234,-22.10932194392307,9.156157228145874,22.24496846746624,3.7902725950365044,-3.2057254025837256,-12.867156131554637,6.490198402809427,9.009136917980507,1.6627382234977728,12.502384503200304,-17.40059330397073,-2.359718456580542,10.893277463907737,16.92524841322593,25.52938297493319,-33.10058770835148,65.41580071499276,-20.075066263844906,-29.44387804524932,32.669006667584675,31.498804722055496
8,-9.269606567629207,-353.5504081117195,61.835632079605546,-6.9084535084422996,2.238229021541256,-98.17157589867544,-20.647425272349565,8.454403300723698,22.616022755512475,-2.673042391074361,-1.534350554205204,-14.324669441391677,6.68852448493203,9.377254744695309,2.0140300825240423,12.939592148957521,-17.944571566951776,-2.176082958099803,11.015844173584865,16.691157185080968,25.529932189049497,-32.885382304525606,65.57016715779942,-20.245451881682026,-29.49035677938718,32.2704381058885,30.893816854228145
9,-9.218545771805342,-354.2277279238058,61.63756259613049,-7.27256892029213,2.422010136893438,-98.18112037618995,-20.471737756573226,8.003510550521845,22.575906035686558,-5.272726082275994,-1.7496521673108658,-14.324836158095634,6.883965611998209,9.573983241256508,2.147404994216644,13.493798371120672,-18.49202046577772,-1.9503264544906596,10.966950157212674,16.56259039700558,25.53101521448382,-32.64413806990757,65.61503616201828,-20.307763165503804,-29.53155151983513,31.80910247952294,30.396730049657954
10,-9.156611603696996,-354.89395295151337,61.44164496672291,-7.61313717707881,2.578763681361387,-98.1787094288588,-21.009683658585228,7.905382854710197,22.403538632163748,-5.348750996958024,-3.1415071997910746,-14.325013357320895,7.024951751702862,9.743203251553107,2.268075608396662,14.212987814002446,-19.053173717910003,-1.716641548162044,10.901934012014818,16.435569636287724,25.5350296963912,-32.40631659108015,65.64893102925515,-20.266986336578757,-29.56896186281896,31.334027131210803,29.900811696059762
11,-9.08858936194407,-355.56034787074117,61.236350896249235,-7.984018186042536,2.7282257646121897,-98.21428606955217,-21.432956240376743,7.811410090458638,22.264300869119314,-5.226426953510082,-4.474199309536194,-14.325199114721853,7.106134771740885,9.933410619474103,2.4324399748851824,15.072299121915535,-19.624247040810054,-1.4740927415228902,10.851158335214954,16.24027349021537,25.543736279926673,-32.16871645462611,65.72524106111584,-20.123716616175408,-29.60055740456447,30.843902403674885,29.355497181148422
12,-9.04060280801606,-356.2372313124661,61.04379390476143,-8.27508270445504,2.855400685325775,-98.26453377663586,-21.619003763938938,7.655418134937048,22.271085070728518,-5.212120470321797,-5.271578554436586,-14.3253915059529,7.182562939807176,10.054503188908502,2.613380743503291,15.981784939172625,-20.13877515193931,-1.2406097369821305,10.824299724036734,16.061709546076468,25.554156610245286,-31.95313124712822,65.76057155920616,-19.943404225562272,-29.630104741297448,30.376442639637983,28.90486689263878
13,-9.000668785047491,-356.8813940756341,60.931905841168906,-8.337317354896143,2.918134897241368,-98.25991430321166,-21.788206491262986,7.499545465315312,22.47412956116663,-4.6286254657828,-5.586994692382615,-14.325588606668429,7.34038112359663,9.9804183037453,2.7377119640720724,16.843554910086407,-20.521836768759208,-1.031530536948698,10.789276775703813,16.01161439115899,25.554368332502072,-31.853308555169246,65.6692338251319,-19.94477138600786,-29.651686469243696,30.164015181822908,28.84925321824569
14,-8.993049482242236,-357.52003101192514,60.87853066375605,-8.074221105161241,2.920313574429345,-98.20042799073045,-21.99170468434006,7.373328458763311,23.002719664608914,-3.1622421582827203,-5.186171581264644,-14.325788492522832,7.509654090804145,9.6244363078735,2.7929624864126126,17.81334467896957,-20.887352608731184,-0.8614872438315262,10.807175087439845,16.226051612750897,25.546750091852083,-31.746126965331953,65.28153516049888,-19.990651318780696,-29.699371184629005,29.897258372952457,29.15071854568399
