Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof
0,0.1743638813495636,1.5272706747055054,61.78193664550781,1.7793207105930444,7.528321275032606,-104.9035718934811,6.6632934,-6.315606,20.644245,6.479905,-23.501863,-3.8288054,-35.758965,-4.1698747,-8.764363,57.43818,-12.539242,-3.1919305,-4.6808357,-20.92864,27.073328,-37.567024,49.296204,-2.8729043,-23.831871,34.980633,68.205925
1,0.15790437161922455,1.0837197303771973,61.67734909057617,1.647365972922078,7.642693293735505,-104.93308182758868,6.9567943,-6.2845573,20.69247,6.480373,-23.753489,-3.8929198,-36.068886,-3.463004,-8.915787,54.436203,-12.369186,-2.7211452,-4.6166887,-21.680294,27.31249,-37.6527,48.6045,-2.1720736,-24.324028,35.19466,68.011795
2,0.1290431171655655,0.6258180141448975,61.578147888183594,1.4499433127454837,7.7528722174217855,-105.01679158871802,7.251661,-6.2002573,20.801146,6.483644,-24.012897,-3.956067,-36.35458,-2.669538,-9.104707,51.36899,-12.18027,-2.2652624,-4.5483155,-22.548313,27.53454,-37.701885,48.008755,-1.3486756,-24.717344,35.418697,67.73559
3,0.10357239842414856,0.15798865258693695,61.47743606567383,1.241760192619575,7.855509988608069,-105.09524212397542,7.557697,-6.0989223,20.903275,6.489887,-24.270449,-4.033864,-36.621475,-1.8775228,-9.248279,48.305344,-11.968715,-1.8025745,-4.5117536,-23.428234,27.741901,-37.732857,47.449265,-0.5445467,-25.038416,35.65419,67.47136
4,0.06959307938814163,-0.3203001916408539,61.37080383300781,1.049663153395266,7.954047723801754,-105.13637520040149,7.8802867,-5.994089,20.961386,6.4982715,-24.519608,-4.1439133,-36.85881,-1.1317477,-9.258819,45.259583,-11.692731,-1.3167092,-4.5249557,-24.272478,27.936325,-37.744785,46.874863,0.19851293,-25.303856,35.889095,67.213844
5,0.027765391394495964,-0.8073417544364929,61.255615234375,0.8732849070720381,8.060720044443014,-105.13387010990554,8.210743,-5.8840938,20.97081,6.5096955,-24.776155,-4.2870617,-37.065033,-0.42083877,-9.097657,42.148033,-11.274663,-0.80060834,-4.5750895,-25.065277,28.124182,-37.72587,46.242874,0.8908072,-25.530727,36.11133,66.935165
6,-0.02075137384235859,-1.308476209640503,61.1333122253418,0.7056094564353317,8.170551092980874,-105.1024748262354,8.548133,-5.768878,20.947992,6.521496,-25.034037,-4.4531717,-37.244934,0.26928204,-8.806646,38.98971,-10.758819,-0.26327425,-4.645154,-25.796873,28.300928,-37.671474,45.549152,1.5510917,-25.719423,36.314117,66.636215
7,-0.07355262339115143,-1.8234219551086426,61.0030403137207,0.5617794628859779,8.26785423319469,-105.04691288195154,8.908041,-5.66391,20.89221,6.535576,-25.267757,-4.645908,-37.406742,0.9023411,-8.4169855,35.97612,-10.304599,0.28650224,-4.7541466,-26.457924,28.46866,-37.59357,44.83553,2.1645863,-25.877031,36.49444,66.35252
8,-0.13383693993091583,-2.353262186050415,60.863609313964844,0.46008385590066825,8.331815773627095,-104.96388360606717,9.307255,-5.584679,20.794615,6.556076,-25.449493,-4.8683214,-37.551174,1.4360404,-7.968814,33.285233,-10.058625,0.8416901,-4.918045,-27.028885,28.62957,-37.510143,44.13448,2.7141912,-26.009052,36.64662,66.12766
9,-0.19159647822380066,-2.8917698860168457,60.717018127441406,0.42155137661401515,8.356266297401922,-104.82965863678047,9.753038,-5.546319,20.622223,6.5812798,-25.587013,-5.1338625,-37.6598,1.8335454,-7.4499164,30.839481,-10.115313,1.4746759,-5.1721025,-27.524046,28.785452,-37.43906,43.459354,3.1906743,-26.11973,36.766354,65.97335
10,-0.25812697410583496,-3.4413623809814453,60.5640754699707,0.4373365644633493,8.350494636548552,-104.64451059232778,10.235706,-5.5401025,20.380169,6.6139183,-25.692387,-5.4361715,-37.73289,2.1217968,-6.8530273,28.56486,-10.363447,2.1700578,-5.495683,-27.953087,28.937317,-37.38318,42.791805,3.6095011,-26.212326,36.847206,65.86849
11,-0.3316473960876465,-4.007004737854004,60.408443450927734,0.48127529301908845,8.325796787633678,-104.44235225189078,10.743595,-5.549424,20.118448,6.6488714,-25.73477,-5.749475,-37.8064,2.3490813,-6.226538,26.636639,-10.637645,2.7824383,-5.838593,-28.321785,29.081284,-37.34294,42.13796,3.982807,-26.287268,36.88643,65.80198
12,-0.39815017580986023,-4.587327480316162,60.256385803222656,0.528700802951466,8.294708550839715,-104.25878455342279,11.263298,-5.559905,19.888657,6.6903386,-25.691463,-6.048831,-37.93026,2.5552979,-5.614091,25.271198,-10.798319,3.1587942,-6.1469507,-28.627047,29.219435,-37.31485,41.499317,4.3227253,-26.347944,36.882343,65.7662
