Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof
0,0.1340123414993286,1.6001559495925903,64.49602508544922,1.4780597776880355,8.052400729061471,-108.13029077770464,3.7684,-7.025346,22.928371,6.555216,-8.696836,-3.5455985,-10.897925,-15.935273,-5.4032364,47.567936,-2.0131443,8.445068,-0.9165295,1.6823968,22.626972,-29.846111,54.489292,-4.1277094,-24.16711,39.005207,58.12227
1,0.17838266491889954,1.4289441108703613,64.42789459228516,1.4911217263109977,8.079072707584883,-108.17502424256232,3.850507,-7.1104054,22.884092,6.66619,-8.967761,-3.6060433,-12.360725,-16.190155,-5.5486116,50.291603,-1.0264494,6.6779404,-1.1739371,2.0586088,23.256979,-29.909147,53.077217,-3.9604716,-24.632336,39.353683,57.75446
2,0.22790808975696564,1.2635509967803955,64.3446044921875,1.5499482745883446,8.085918086035031,-108.2244090414145,3.9451914,-7.2426014,22.840462,6.7880754,-9.23388,-3.6629913,-13.833121,-16.556852,-5.720983,53.10126,-0.089664616,4.872413,-1.4038379,2.6032276,23.738214,-29.883514,51.554943,-3.7350597,-25.015097,39.584362,57.43326
3,0.27322614192962646,1.0984176397323608,64.2521743774414,1.6268259732785006,8.078848609495271,-108.26914761305154,4.07653,-7.404557,22.791428,6.855107,-9.486469,-3.7168927,-15.28225,-16.98608,-5.97277,55.85258,0.7882339,2.9209948,-1.646477,3.162711,24.120268,-29.825922,50.046616,-3.5065157,-25.33687,39.75056,57.1651
4,0.3188331723213196,0.9246046543121338,64.15303039550781,1.716354302563838,8.062421931653013,-108.30802721404041,4.2471623,-7.595198,22.73956,6.8624377,-9.754949,-3.7666075,-16.696491,-17.449888,-6.333764,58.4487,1.5777838,0.7300819,-1.9409689,3.6684167,24.434752,-29.784134,48.569427,-3.2918737,-25.611814,39.888832,56.929684
5,0.37281596660614014,0.7465623617172241,64.04945373535156,1.8159312919646335,8.035695423498588,-108.35267485240753,4.461768,-7.818596,22.684935,6.8108535,-10.059898,-3.8000546,-18.10425,-18.040903,-6.996372,60.97108,2.4702861,-2.1241503,-2.3025072,4.0939546,24.703724,-29.799185,47.124165,-3.0913932,-25.849892,40.02577,56.699596
6,0.41690123081207275,0.5573884844779968,63.93303298950195,1.9252976881416672,8.000471227862192,-108.39175208803752,4.7063,-8.065986,22.619637,6.7208924,-10.392484,-3.819144,-19.485823,-18.774475,-7.932616,63.422832,3.396045,-5.5019464,-2.7164068,4.4251237,24.941187,-29.884542,45.72549,-2.9089665,-26.058214,40.170982,56.4827
7,0.4673714339733124,0.3649331331253052,63.81667709350586,2.041876231024972,7.961733524152456,-108.39894929264342,4.966708,-8.318673,22.541096,6.59977,-10.726172,-3.8488622,-20.772902,-19.423422,-8.743988,65.6029,3.9825196,-8.540437,-3.1661289,4.643259,25.155142,-30.026487,44.394184,-2.7586427,-26.241707,40.31777,56.317642
8,0.49805721640586853,0.1717245727777481,63.68580627441406,2.1542677658562277,7.924669641893393,-108.36545834319153,5.1831293,-8.528912,22.473122,6.573119,-11.1040535,-3.9200609,-21.934,-19.654966,-8.92023,67.33293,3.9189117,-10.261038,-3.622032,4.7406325,25.349674,-30.195166,43.150223,-2.6476367,-26.403793,40.45123,56.23401
9,0.5210617184638977,-0.025487950071692467,63.561798095703125,2.255978765209459,7.885741789930662,-108.3078971666494,5.3773775,-8.699354,22.46401,6.573502,-11.492708,-4.0748444,-22.9705,-19.181292,-8.031296,68.54788,2.9466243,-10.000018,-4.056634,4.7358704,25.526857,-30.367788,41.973248,-2.5829327,-26.54724,40.564976,56.251774
