Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof
0,0.4877775013446808,1.6829960346221924,64.14778900146484,-1.2040504313020037,1.8455165028686251,-103.3392936858651,-8.595787,6.8531165,20.444178,23.13672,-16.223986,-4.311187,1.5959003,1.3843707,-9.842959,9.081489,-14.267162,-0.013356618,2.7325354,0.6011424,22.772816,-30.812538,57.83677,-2.8921325,-23.513645,43.060066,47.56136
1,0.5014269351959229,1.6469250917434692,64.13374328613281,-1.218118116947814,1.8634093571110564,-103.3404278220997,-8.69572,6.884536,20.429085,23.420815,-16.3338,-4.2656875,1.7458011,1.3903102,-9.875441,8.763542,-14.225444,0.2218146,2.7350492,0.6020027,22.853004,-30.812532,57.836952,-2.8962665,-23.581213,43.063637,47.55686
2,0.5280356407165527,1.5933043956756592,64.12063598632812,-1.237986410160973,1.8889694667359842,-103.34390290237027,-8.8112,6.920893,20.415133,23.75939,-16.484306,-4.217529,1.9111513,1.3943356,-9.907554,8.418488,-14.17991,0.4687614,2.7457106,0.6053705,22.984991,-30.80603,57.836613,-2.9122787,-23.692457,43.064964,47.53858
3,0.5738784670829773,1.5215654373168945,64.04639434814453,-1.5712604046015723,2.0601307104432385,-103.56086021728574,-9.369046,7.456752,20.503098,25.072268,-17.27402,-4.212437,1.8209164,1.6642549,-9.745242,8.343082,-14.284569,0.7318467,3.0021436,1.2391555,23.526941,-30.42987,57.149864,-2.9249318,-24.17229,42.930527,45.90244
4,0.6002033948898315,1.473149299621582,64.02981567382812,-1.590246482839207,2.082189400868196,-103.56227253150051,-9.466805,7.4897103,20.487196,25.358341,-17.427721,-4.151435,1.9583052,1.6665066,-9.776671,8.057372,-14.2518015,0.9743425,3.004821,1.2420458,23.581898,-30.423197,57.151184,-2.9290419,-24.221771,42.926315,45.898006
5,0.6443214416503906,1.3753364086151123,63.968994140625,-1.872473180176921,2.1676566607338095,-103.76211015550228,-9.800041,7.9046817,20.578604,26.329594,-18.096813,-4.0978894,2.0172958,1.880436,-9.620747,7.8452163,-14.261075,1.2626641,3.1351442,1.9060812,23.997942,-29.977654,56.903427,-2.869585,-24.60403,42.66807,44.796604
6,0.6696516871452332,1.3197351694107056,63.951534271240234,-1.8982253899224872,2.198774810040017,-103.76689037821006,-9.864628,7.9237447,20.564075,26.554459,-18.30043,-3.9967895,2.1544755,1.871854,-9.649737,7.5733647,-14.230724,1.5407841,3.1371033,1.915144,24.078028,-29.967447,56.91064,-2.877546,-24.676754,42.657524,44.78984
7,0.7230290770530701,1.218153715133667,63.90237045288086,-2.126698368805688,2.19450006385186,-103.99843251287973,-10.009553,8.243018,20.706015,27.293556,-18.885654,-3.9200037,2.2571099,2.008163,-9.458967,7.4579935,-14.269216,1.8346442,3.214426,2.5117292,24.410202,-29.634304,57.13861,-2.9257896,-24.98918,42.44467,44.00296
8,0.7595508098602295,1.1371299028396606,63.884578704833984,-2.1605058518496003,2.236102676227636,-104.00621124375283,-10.049977,8.251221,20.69805,27.471329,-19.105461,-3.8390763,2.380045,1.9927211,-9.477277,7.2249217,-14.243709,2.0779703,3.2181382,2.5307057,24.516846,-29.621529,57.15462,-2.9396036,-25.086208,42.42815,43.990242
9,0.8132038712501526,1.023186206817627,63.843177795410156,-2.34040784150696,2.244740984260981,-104.18371376115401,-10.126918,8.469213,20.809683,27.994864,-19.586344,-3.7967298,2.4624276,2.0736663,-9.325846,7.164244,-14.292239,2.3013592,3.28722,3.087927,24.77861,-29.37501,57.44337,-2.9384825,-25.33901,42.252018,43.263733
10,0.8579570055007935,0.9225890040397644,63.82434844970703,-2.3800103518758515,2.300528219861922,-104.19374747035144,-10.137453,8.458533,20.810976,28.11249,-19.815777,-3.7513714,2.5489824,2.0421667,-9.328053,7.026096,-14.299261,2.4849355,3.3086545,3.1529675,24.935766,-29.34551,57.4913,-2.970265,-25.484098,42.213924,43.214787
11,0.9155266284942627,0.804070770740509,63.7880973815918,-2.514979788951527,2.33115718031038,-104.31318798659187,-10.167228,8.58489,20.884562,28.439632,-20.20233,-3.729782,2.622668,2.0799432,-9.226271,6.962814,-14.332584,2.6624124,3.35781,3.7055972,25.1336,-29.171078,57.724472,-2.8663127,-25.682459,42.065666,42.517487
12,0.9768648147583008,0.6859872937202454,63.75926208496094,-2.6017506090000495,2.367038222000412,-104.40289965578455,-10.15866,8.636489,20.949383,28.6284,-20.503187,-3.713937,2.7015228,2.0762174,-9.155565,6.872358,-14.34855,2.833042,3.3775554,4.0987206,25.305494,-29.044306,57.844116,-2.7786965,-25.85674,41.932255,42.12824
13,1.0327574014663696,0.563580334186554,63.73207473754883,-2.676404688767688,2.4012293374028997,-104.52780172289629,-10.123027,8.6727705,21.054838,28.772972,-20.787037,-3.7186694,2.7658153,2.0547028,-9.059084,6.802731,-14.373934,3.0133324,3.3844523,4.451424,25.455591,-28.962662,58.028984,-2.748454,-26.009338,41.79736,41.828808
14,1.0925849676132202,0.43122583627700806,63.705955505371094,-2.746283884839572,2.4346696485396437,-104.67822369111268,-10.064948,8.699786,21.189335,28.881012,-21.060589,-3.7419603,2.8196542,2.0230958,-8.941543,6.7497563,-14.404298,3.1932242,3.3887324,4.7756414,25.587423,-28.921782,58.26917,-2.7474632,-26.14253,41.652996,41.586384
15,1.155423879623413,0.33032840490341187,63.682891845703125,-2.8100900298104894,2.46741376138974,-104.83144392213391,-9.994684,8.71283,21.330296,28.967657,-21.324776,-3.763148,2.8684824,1.9805751,-8.821689,6.7117987,-14.43323,3.354979,3.3993492,5.0744085,25.703566,-28.918797,58.546303,-2.7538426,-26.259068,41.502373,41.386307
16,1.2272539138793945,0.20891092717647552,63.666526794433594,-2.86540845856178,2.500333142896371,-104.96391510713006,-9.917634,8.702042,21.451702,29.032438,-21.571354,-3.7590952,2.9128714,1.9244729,-8.7163315,6.7009096,-14.465904,3.4778821,3.4240446,5.348883,25.805824,-28.951487,58.84261,-2.7549834,-26.362104,41.357433,41.220036
17,1.3047343492507935,0.0707067996263504,63.64833068847656,-2.913969420248545,2.531094575398061,-105.06835858000994,-9.837446,8.670186,21.545866,29.088636,-21.806593,-3.726005,2.954393,1.8569689,-8.632904,6.7226014,-14.499881,3.5486078,3.461155,5.6056247,25.895699,-29.019012,59.158,-2.7500808,-26.454632,41.23086,41.082306
18,1.3790967464447021,-0.07209771871566772,63.63039779663086,-2.9555768998983436,2.5592368709353472,-105.15601554899155,-9.74681,8.617659,21.623764,29.123491,-22.027046,-3.6740768,2.9897594,1.7778614,-8.5612545,6.780362,-14.541762,3.5790899,3.5012193,5.84944,25.974537,-29.118055,59.495438,-2.7455904,-26.53861,41.124886,40.974716
19,1.4565329551696777,-0.217482328414917,63.617767333984375,-2.9861622073512186,2.5887009498830156,-105.2311034335197,-9.647778,8.54109,21.693613,29.133791,-22.231327,-3.6072373,3.0242553,1.6827967,-8.499184,6.8487887,-14.582144,3.5941784,3.5413513,6.076601,26.043114,-29.24138,59.843765,-2.7448545,-26.615221,41.03586,40.902905
20,1.5373040437698364,-0.3711152970790863,63.60759735107422,-3.000363880722132,2.6243647281406868,-105.29808992520499,-9.542654,8.434978,21.763046,29.114601,-22.417513,-3.5288212,3.0598536,1.5661557,-8.44499,6.91039,-14.618083,3.6186297,3.5779097,6.2843976,26.10192,-29.379654,60.189617,-2.748345,-26.68508,40.955345,40.871338
21,1.6264647245407104,-0.5308374166488647,63.59648132324219,-2.9971311579553483,2.666719610899942,-105.35563205359264,-9.435459,8.298211,21.833021,29.07413,-22.58805,-3.429177,3.1010427,1.4273623,-8.400416,6.954349,-14.650736,3.6695056,3.6085172,6.4763236,26.151436,-29.526329,60.534817,-2.7544534,-26.748528,40.875645,40.8846
22,1.719153881072998,-0.6967921257019043,63.58858871459961,-2.978798967627706,2.71474286023911,-105.40239140158316,-9.324665,8.132831,21.899864,29.011223,-22.74292,-3.309869,3.1446984,1.2692792,-8.367721,6.992301,-14.681209,3.7320426,3.6341274,6.6575913,26.192238,-29.679045,60.878914,-2.759053,-26.806202,40.79547,40.9352
23,1.81537926197052,-0.865326464176178,63.58180618286133,-2.946672629766267,2.7714904716930593,-105.44193265045215,-9.204434,7.939359,21.964708,28.905104,-22.874851,-3.190831,3.1804116,1.0926039,-8.340467,7.0395145,-14.705874,3.777738,3.658457,6.828108,26.224667,-29.835722,61.20612,-2.7602773,-26.859043,40.71773,41.00902
