Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof
0,-12.646821022033691,-243.5502471923828,63.34416961669922,-3.893815405314961,0.8209948249425914,-99.47386917901879,-16.1411868498,13.3690135012,21.788679279,48.7517275343,-6.71616274384,-6.31591713952,-3.25638302014,11.1297909806,1.7011751611,12.6860113359,-14.9745659065,-3.67912859214,3.53414555845,8.64199113061,27.5348362556,-32.5648024477,59.8212967095,-5.39293277771,-28.9741383918,30.0482663572,33.5735635443
1,-12.683296748867116,-244.29529173549585,63.35915622292933,-3.9856169987556562,0.7879120717530108,-99.68881466176776,-16.9919238052,13.5324351695,22.0669194752,48.1707964025,-6.59034780389,-6.39556830495,-2.43818425661,11.1560739699,1.92167482141,13.3376785136,-15.0761722613,-3.7858545395,4.14162641068,9.68809633063,27.3872841897,-32.8945145048,60.3861668512,-6.41128380364,-29.1200487686,29.74683841,33.0497960166
2,-12.71924323853172,-245.0389520294235,63.35683042303917,-4.092876832308221,0.766591946016077,-99.89708426052624,-17.8234802321,13.6725659731,22.337525926,47.5462889589,-6.47919536337,-6.46074102115,-1.64242744599,11.1579127975,2.13083623861,14.0303991153,-15.1626955107,-3.87849817668,4.74055054079,10.7198075103,27.2392892188,-33.2105167381,60.9287669984,-7.4107885493,-29.2670264218,29.4606129025,32.5506143869
3,-12.75072216580305,-245.78725079809934,63.33526021860135,-4.243808142038652,0.7382582541120444,-100.09605077595553,-18.6338528384,13.7890683248,22.5998467166,46.8797096967,-6.38297319824,-6.51127828133,-0.871029636138,11.1353030337,2.32815552452,14.7625043164,-15.2339272128,-3.95683631704,5.32947508808,11.7346391871,27.0912078757,-33.5120478704,61.4477899797,-8.38903912023,-29.4147172696,29.1902793769,32.0772212274
4,-12.782486039502064,-246.53571271858195,63.294478180280265,-4.4071536358573775,0.6978970133330757,-100.27445930337224,-19.4210893654,13.8816615601,22.8532498933,46.1726644638,-6.30191311613,-6.5470583368,-0.125849191946,11.0882991472,2.51315731968,15.5322304113,-15.289695764,-4.02068023712,5.90698128173,12.7301465426,26.9433969012,-33.798381487,61.9419854233,-9.3436788251,-29.5627655117,28.9364890903,31.6307569838
5,-12.815631934794936,-247.29589945523458,63.236565371171984,-4.594178827155775,0.6418160546835727,-100.43850306064671,-20.1832932913,13.9501226137,23.0971249857,45.426856594,-6.23621039786,-6.56799499028,0.591318681628,11.0170143746,2.68539593858,16.3377230624,-15.3298668131,-4.06987613135,6.47167785875,13.7039313123,26.7962123852,-34.0688277849,62.4101627691,-10.2724078533,-29.7108144869,28.6998534458,31.2122972275
6,-12.852219184233094,-248.05456188140485,63.16180231726316,-4.80219288018107,0.5755723922295142,-100.58827578811957,-20.9186284001,13.9942865571,23.3308844772,44.6440828038,-6.18602332706,-6.57403780354,1.27874626436,10.9216204471,2.84445644329,17.1770417675,-15.3543435845,-4.1043054825,7.02220441562,14.6536475636,26.6500089078,-34.3227352355,62.8511941369,-11.1729888151,-29.8585075324,28.4809425194,30.8228500648
7,-12.890523894354779,-248.82074396126075,63.07013003648384,-5.022677156791848,0.5043750527402794,-100.70977414619949,-21.6253232052,14.0140469954,23.5539652208,43.8262288638,-6.15147280875,-6.56517221891,1.93477748299,10.8023471771,2.98995564314,18.0481645342,-15.3630671116,-4.12388534724,7.55723468564,15.5770073466,26.5051386861,-34.5594921533,63.2640170435,-12.0432521323,-30.0054888424,28.2802836867,30.4633537079
8,-12.926333081732412,-249.59448697342333,62.96738325403944,-5.243453782394252,0.4339051781461443,-100.78885068105724,-22.3016752168,14.009356324,23.7658297955,42.9752650558,-6.13264207818,-6.54141959435,2.55783190085,10.6594819042,3.12154301779,18.9489927515,-15.3560163784,-4.12856855597,8.07547973402,16.4717862069,26.3619507251,-34.7785281703,63.6476369624,-12.8811012642,-30.1514043264,28.0983603524,30.134674215
9,-12.961343682677189,-250.37271940354492,62.84924197101429,-5.441336395679877,0.37165935724050997,-100.81649889107463,-22.9460550438,13.9802258432,23.9659678009,42.0932414262,-6.12957650022,-6.50283715203,3.14640852528,10.4933688036,3.23890156173,19.8773562453,-15.333208371,-4.11834382643,8.57569106305,17.3358285438,26.2207899773,-34.9793156095,64.0011297195,-13.6845177588,-30.295902461,27.9356107857,29.8376034039
10,-12.996351411271297,-251.15388035739502,62.708612903580615,-5.642688175827333,0.30580198647033724,-100.80882124232893,-23.5569103186,13.9267257307,24.1538970871,41.1822828471,-6.14228346011,-6.44951784042,3.69908942363,10.3044080561,3.34174854797,20.8310185067,-15.2946980358,-4.09323579089,9.05666361984,18.1670528036,26.0819965111,-35.1613707564,64.3236437198,-14.4515661156,-30.4386351376,27.7924270645,29.5728569442
11,-13.023940845732666,-251.93558496613377,62.55123922420945,-5.815593133615228,0.24231183511263316,-100.77082025094246,-24.1327694375,13.8489848731,24.3291649159,40.2445838976,-6.17073234568,-6.38159011041,4.21454313921,10.0930548847,3.42983620909,21.8076820796,-15.2405781475,-4.0533049368,9.51723869935,18.9634564943,25.9459046923,-35.3242550242,64.614401999,-15.1803984477,-30.5792585007,27.6691541311,29.3410726333
