Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof
0,-10.059569358825684,-277.585693359375,62.15226745605469,-5.99159492767292,0.15932201462443848,-97.95767000498523,-27.3563931948,13.1164933042,20.2988179406,41.9074748575,-6.85368155876,-7.4992631174,4.49716588686,8.63113397335,3.38565669399,24.735953316,-14.4421701093,-3.74181699523,7.06826677406,12.5595803594,25.7633159299,-30.0219274415,70.2785616473,-10.8194798403,-29.2547545386,34.7052940492,30.9042652833
1,-10.070827502807612,-278.4368301412994,61.94405057975726,-6.118679647634493,0.1026174604681482,-97.99687668535665,-27.8829212457,13.0118873496,20.5477254753,40.9340799108,-6.95473337809,-7.34908719728,4.94376065806,8.40261640866,3.49234855015,25.9069184795,-14.4534527369,-3.72490511299,7.69221226708,13.3847466664,25.6140903842,-30.1992393108,70.5591416886,-11.5613347574,-29.3642135556,34.5928180413,30.5702250356
2,-10.082190903117962,-279.28681506908276,61.727836766384634,-6.23304225494654,0.06910954950165556,-98.04957188493974,-28.3671490983,12.8819986918,20.7864937829,39.9455049464,-7.07440411881,-7.18685485999,5.34857297443,8.15682594596,3.58166032083,27.0869339779,-14.4480387052,-3.69709831232,8.28492650574,14.181489629,25.4685093702,-30.3626200986,70.7975120542,-12.2718879485,-29.4721898395,34.4999001149,30.2729125647
3,-10.091581975621452,-280.1369980528493,61.515691487019026,-6.278171513974556,0.0792287084661085,-98.11030273761737,-28.8079102051,12.727140244,21.0145476498,38.944131528,-7.21240548363,-7.01295693744,5.71062760763,7.89435471601,3.65337684617,28.2731570504,-14.4259410572,-3.65846358226,8.84498158954,14.9478898237,25.3269236053,-30.5116762062,70.9930984888,-12.9494276289,-29.5784232661,34.4267641177,30.0130441223
4,-10.086854242750187,-280.9884848620985,61.2879800784653,-6.399941105932087,0.14898180214388743,-98.25747871725204,-29.2041427341,12.5476850738,21.231337674,37.9323720518,-7.36840501517,-6.82781236494,6.02905233634,7.61583503499,3.70732535475,29.4627299819,-14.387213028,-3.60909399724,9.37102829671,15.6821009252,25.1896741821,-30.6460485444,71.1454298078,-13.5923215461,-29.6826579097,34.3735862404,29.7912457543
5,-10.084758512397693,-281.8600509440642,61.02988202547756,-6.7412944726486845,0.2703253191539387,-98.54870653711883,-29.5548921264,12.3440655045,21.4363415895,36.9126639351,-7.54202689689,-6.631867172,6.30308004749,7.32193788122,3.74337587992,30.652786987,-14.3319479169,-3.54910849292,9.86179933467,16.3823541547,25.0570917465,-30.7654133984,71.2541390316,-14.1990209123,-29.78464266,34.3404945935,29.6080517923
6,-10.070605811268534,-282.73049371863624,60.77226925665754,-7.119853369353356,0.38093200961861823,-98.7945140386121,-29.859313396,12.1167720733,21.6290655238,35.8874637441,-7.73285285848,-6.42559340775,6.53205058434,7.01337127867,3.76144157278,31.840461114,-14.2602788623,-3.47865157964,10.316112393,17.0469625408,24.9294957011,-30.8694832078,71.3189642702,-14.7680641356,-29.8841318267,34.3275688974,29.4639035668
7,-10.031649800649792,-283.608456797111,60.52253423893707,-7.511384849240655,0.4963064145346362,-98.98353024670803,-30.1166731654,11.8663523501,21.8090451882,34.8592412757,-7.94042318347,-6.20948800375,6.71541233679,6.69087859132,3.7614789115,33.022891152,-14.1723785213,-3.39789299426,10.7328729918,17.6743249837,24.807193436,-30.9580072595,71.3397493538,-15.2980803411,-29.9808857318,34.3348402913,29.3591483433
8,-9.986236785566343,-284.47362260914406,60.280985546425704,-7.858869485186754,0.6050127928771786,-99.15385881893258,-30.3263514323,11.5934096179,21.9758469959,33.830473608,-8.16423781678,-5.98407157685,6.85272357033,6.3552367323,3.74348780614,34.1972285234,-14.0684586535,-3.3070272913,11.1110771181,18.2629301124,24.6904795881,-31.0307722911,71.3164442095,-15.7877926732,-30.0746712865,34.3622912579,29.2940384865
9,-9.95668417089658,-285.33631323282856,60.05781181915098,-8.085166832932751,0.6944272185018232,-99.28097936765865,-30.4878430635,11.2986014196,22.1290691066,32.8036391323,-8.40375756934,-5.74988717496,6.94365349017,6.00725429225,3.70751159884,35.3606441467,-13.948769611,-3.20627337419,11.4498136453,18.8113599255,24.5796353312,-31.0876030053,71.2491049813,-16.2360213722,-30.1652625533,34.4098556653,29.2687308515
